label,text
0,Je suis triste maintenant miss.lilly
0,"Ooooh .... lol que leslie .... et ok je ne le refuserai pas, donc leslie ne va pas se fâcher de nouveau"
0,Meh ... presque l'amant est l'exception ... cette piste me déprime à chaque fois.
0,Some1 piraté mon compte sur le but maintenant je dois en créer un nouveau
0,"Je veux aller pour promouvoir l'engrenage et le sillon, mais malheureusement, je ne vais pas là-bas. Je pourrais aller à celui d'Anaheim en mai"
0,Pensé dormir dans était une option demain mais en réalisant que ce n'est pas le cas maintenant. Les évaluations le matin et le travail dans l'après-midi!
0,"Crainte que je vous aime aussi !!!! Je suis ici, je vous manque"
0,Je pleure mes yeux asiatiques pour dormir la nuit
0,"Ok, je suis malade et j'ai passé une heure assise dans la douche parce que j'étais trop malade pour supporter et retenir le puke comme un champion. au lit maintenant"
0,Je vous raconte l'histoire plus tard pas une bonne journée et je travaillerai comme trois heures de plus ...
0,Pardon! Le temps de coucher est venu ici (gmt + 1)
0,Je ne le fais pas non plus. c'est déprimant. Je ne pense pas que je voulais même savoir sur les enfants dans les valises.
0,lit. Classe 8-12. Travail 12-3. Gymnase 3-5 ou 6. puis classe 6-10. Un autre jour qui va passer. ma petite amie me manque
0,Je n'ai vraiment pas envie de me lever aujourd'hui ... mais je dois étudier pour un examen pratique de demain ...
0,"Il est la raison de la larme sur ma guitare, le seul qui a assez de moi pour me casser"
0,"triste triste triste. Je ne sais pas pourquoi, mais je déteste ce sentiment, je veux dormir et je ne peux toujours pas!"
0,"Awww, je souhaite que j'étais là pour vous voir enfin à l'aise! Je suis triste que je l'ai manqué"
0,s'endormir. Vient d'entendre parler du corps de cette fille de tracy. Quelle est la tristeté de mes familles pour cette famille.
0,Yay! Je suis heureux pour vous avec votre travail! Mais cela signifie aussi moins de temps pour moi et vous ...
0,"J'ai juste vérifié mon chronologie de l'utilisateur sur mon Blackberry, il semble que le twanking est toujours en train de se produire. Ppl a-t-il encore des problèmes avec wgs / wgs?"
0,Oh mec ... était le top préféré de repasser à porter à une réunion. L'a brûlé
0,Est étrangement triste de voir lilo et Samro se séparer.
0,"Oh! Je suis tellement désolé, je n'ai pas réfléchi avant de retweeter."
0,"Plan large bande ""une énorme promesse brisée"" via www.diigo.com/~tautao toujours en attente de haut débit, nous sommes"
0,"Wow, des tonnes de réponses de vous, peut-être que de ne pas suivre afin que je puisse voir les tweets de mes amis, vous défilez beaucoup."
0,Notre canard et notre poulet prendront beaucoup de temps pour éclabousser
